Word,Sentence,Meaning,Pronunciation,WordType
bank,"After receiving her paycheck, Sarah headed to the bank to deposit it.",financial institution,/bæŋk/,non-heteronym
bank,The bank approved our mortgage application yesterday.,financial institution,/bæŋk/,non-heteronym
bank,He stood in line at the bank for almost an hour to open a new account.,financial institution,/bæŋk/,non-heteronym
bank,The bank charges a fee for international wire transfers.,financial institution,/bæŋk/,non-heteronym
bank,My grandfather still doesn't trust online banking and visits his bank in person.,financial institution,/bæŋk/,non-heteronym
bank,The suspect was caught on security cameras robbing the bank on Main Street.,financial institution,/bæŋk/,non-heteronym
bank,Several banks have been offering promotional interest rates to attract new customers.,financial institution,/bæŋk/,non-heteronym
bank,She works as a loan officer at the bank downtown.,financial institution,/bæŋk/,non-heteronym
bank,The bank will be closed for the holiday weekend.,financial institution,/bæŋk/,non-heteronym
bank,I need to stop by the bank to exchange some currency before my trip.,financial institution,/bæŋk/,non-heteronym
bank,We set up our picnic on the grassy bank of the river.,side of river,/bæŋk/,non-heteronym
bank,The heavy rains caused the river to overflow its banks.,side of river,/bæŋk/,non-heteronym
bank,The children skipped stones from the rocky bank into the water.,side of river,/bæŋk/,non-heteronym
bank,Erosion has significantly changed the bank of the stream over the years.,side of river,/bæŋk/,non-heteronym
bank,Several turtles were sunning themselves on the muddy bank.,side of river,/bæŋk/,non-heteronym
bank,"The fisherman sat patiently on the bank, waiting for a bite.",side of river,/bæŋk/,non-heteronym
bank,Wild flowers bloomed along the bank in early spring.,side of river,/bæŋk/,non-heteronym
bank,Be careful walking down the steep bank to reach the water.,side of river,/bæŋk/,non-heteronym
bank,They built their cabin near the bank of a small creek.,side of river,/bæŋk/,non-heteronym
bank,The archaeologists discovered ancient artifacts buried in the river bank.,side of river,/bæŋk/,non-heteronym
bat,The baseball player swung the bat and hit a home run.,sports equipment,/bæt/,non-heteronym
bat,My son needs a new bat for his Little League team.,sports equipment,/bæt/,non-heteronym
bat,The coach taught us the proper way to hold a bat when hitting.,sports equipment,/bæt/,non-heteronym
bat,He carved his initials into his wooden bat for good luck.,sports equipment,/bæt/,non-heteronym
bat,The store sells aluminum bats in various sizes.,sports equipment,/bæt/,non-heteronym
bat,She practiced swinging the bat before stepping up to the plate.,sports equipment,/bæt/,non-heteronym
bat,The display case contained bats signed by famous players.,sports equipment,/bæt/,non-heteronym
bat,That bat is too heavy for a child her age.,sports equipment,/bæt/,non-heteronym
bat,Cricket bats are shaped differently than baseball bats.,sports equipment,/bæt/,non-heteronym
